conference_name,priority_level,attendees_500_plus,academic_acceptance_level,submission_tracks,travel_accommodation_sponsorship,cfp_deadline_MM-DD,cft_deadline_MM-DD,cfw_deadline_MM-DD,cfv_deadline_MM-DD,conference_start_date,conference_end_date,city,country,website_or_cfp_link,cft_link,cfw_link,cfv_link,conference_type,timezone,notes,last_verified_date,venue_pattern
AI Security Summit Paris,Medium,Yes,Industry,Talks,Unknown,06-16,TBD,TBD,TBD,2026-07-07,2026-07-07,Paris,France,https://sessionize.com/ai-security-summit-paris/,,,,In-Person,Europe/Paris,AISS 2026 Leadership Track Jul 7 Pavillon Vendôme; alongside RAISE Summit Jul 8-9; 35 min talks lightning workshops; CFP open closes Jun 16 2026; EU AI Act governance focus; https://aisecuritysummit.com/,2026-06-01,Rotating
AI Security Summit San Francisco,High,Yes,Industry,Talks,Unknown,08-31,TBD,TBD,TBD,2026-10-15,2026-10-15,San Francisco,United States,https://sessionize.com/ai-security-summit-san-francisco/,,,,In-Person,America/Los_Angeles,AISS 2026 flagship Oct 15 Westin St Francis 335 Powell St; Leadership and Practitioner tracks one day; CFP open closes Aug 31 2026; 20 min practitioner talks; 2026 season also Nordics and Sydney Sep TBC; https://www.linkedin.com/company/the-ai-security-summit/,2026-06-01,Rotating
APAC DFIR Summit and Cyber Security Training,Medium,Yes,Industry,Trainings|Talks,Yes,TBD,TBD,TBD,TBD,2024-09-06,2024-09-14,Tokyo,Japan,https://www.sans.org/,https://www.sans.org/,,,In-Person,Asia/Tokyo,Added from requested 2024 conference list,2026-03-30,Unknown
AppSec Days Singapore,Medium,Yes,Industry,Talks|Workshops,Unknown,TBD,TBD,TBD,TBD,2025-09-12,2025-09-13,Singapore,Singapore,https://singapore.appsecdays.org/,,https://singapore.appsecdays.org/,,In-Person,Asia/Singapore,2025 dates Sep 12-13; accepts CFP historically via Sessionize; no 2026 edition announced yet,2026-04-01,Mostly Fixed
AppSec Village @ DEF CON,High,Yes,Industry,Talks|Workshops|Panels,Unknown,05-31,TBD,TBD,TBD,2026-08-06,2026-08-09,Las Vegas,United States,https://sessionize.com/appsec-village-def-con-34/,,,,In-Person,America/Los_Angeles,DEF CON 34 village Las Vegas Convention Center; blind-review CFP Sessionize opened Apr 1 closed May 31 2026 PDT; talks panels workshops POD activities in-person; actively seeks underrepresented and first-time speakers; volunteer 501c3; cfp@appsecvillage.com; https://www.appsecvillage.com/cfp,2026-06-01,Mostly Fixed
Area41,High,Yes,Industry,Talks|Villages,Partial,04-12,TBD,TBD,TBD,2026-06-18,2026-06-19,Zürich,Switzerland,https://area41.io/,,,,In-Person,Europe/Zurich,Switzerland technical infosec conference by Swiss DEF CON chapter DC4131 formerly hashdays; biennial since 2010; Jun 18-19 2026 16th edition 0x10 at TheHall Zürich Stettbach; 600 cap officially sold out Jun 2026; agenda live https://area41.io/#day1 six hands-on villages; CFP https://cfp.a41con.ch/2026/cfp closed Apr 12 2026; 30-min English main track; speakers travel expenses only; https://www.linkedin.com/company/area41-security-conference/,2026-06-01,Mostly Fixed
Black Alps,High,Yes,Industry,CTF,Partial,06-30,TBD,TBD,TBD,2026-11-05,2026-11-06,Yverdon-les-Bains,Switzerland,https://pretalx.com/blackalps-2026/cfp/,,,,In-Person,Europe/Zurich,Nonprofit Swiss cybersecurity conference since 2017; Nov 5-6 2026 La Marive Yverdon-les-Bains 600+ attendees 20+ talks CTF networking dinners; CFP open Pretalx until Jun 30 2026 30-min English talks plus student track; 2025 cycle closed Jul 31; speakers travel reimbursement 2 hotel nights free admission; HEIG-VD Y-PARC; summer social event Jun 11 2026 separate; https://blackalps.ch/ba-26/home https://www.linkedin.com/company/blackalps/,2026-06-04,Fixed
BHack Brazil,Medium,Yes,Industry,CTF|Villages|Workshops,Unknown,TBD,TBD,TBD,TBD,2025-12-06,2025-12-07,Belo Horizonte,Brazil,https://bhack.com.br/,,,,In-Person,America/Sao_Paulo,Annual Belo Horizonte information security conference since 2012; 15th edition Dec 6-7 2025 MinasCentro Rua dos Guajajáras 1022; talks CTF villages workshops; major national circuit event; no public CfP portal contact contato@bhack.com.br; 2026 dates not announced Jun 2026; https://www.linkedin.com/company/bhack/,2026-06-04,Fixed
Black Hat Asia,High,Yes,Industry,Trainings|Talks,Yes,12-11,09-01,TBD,TBD,2026-04-21,2026-04-24,Singapore,Singapore,https://blackhat.com/asia-26/,https://asia-trainings-cfp.blackhat.com/,,,In-Person,Asia/Singapore,Merged Black Hat Asia briefings + trainings; Apr 21-24 2026 Marina Bay Sands Singapore; trainings CFP closed Sep 1 2025 briefings CFP closed Dec 11 2025; briefings portal https://asia-briefings-cfp.blackhat.com/,2026-06-01,Mostly Fixed
Black Hat Europe,High,Yes,Industry,Trainings|Talks,Yes,08-11,03-31,TBD,TBD,2026-12-07,2026-12-10,London,United Kingdom,https://blackhat.com/upcoming.html,https://europe-trainings-cfp.blackhat.com/,,,In-Person,Europe/London,Estimated from 2025 official Black Hat Europe CFP cycle; 2026 dates verified on official Black Hat Upcoming page,2026-03-30,Mostly Fixed
Black Hat India,High,Yes,Industry,Trainings|Talks,Unknown,TBD,TBD,TBD,TBD,2026-10-27,2026-10-30,Bengaluru,India,https://www.blackhat-india.com/,,,,In-Person,Asia/Kolkata,Black Hat India 2026 debut Oct 27-30 Bengaluru Sheraton Grand; trainings Tue-Wed Oct 27-28 briefings Thu-Fri Oct 29-30 Summit Day in program; CfP/CfT portals not on blackhat.com call-for-papers yet Jun 2026; registrations open soon per https://www.blackhat-india.com/,2026-06-01,Fixed
Black Hat MEA,High,Yes,Industry,Talks|Trainings,Yes,08-31,TBD,TBD,TBD,2026-12-01,2026-12-03,Riyadh,Saudi Arabia,https://bhmea2026.awardsplatform.com/,,,,In-Person,Asia/Riyadh,Black Hat MEA 2026 Dec 1-3 Riyadh Exhibition and Convention Center Malham; briefings CFP https://bhmea2026.awardsplatform.com/ open closes Aug 31 2026 23:00 KSA; notifications Sep 14; 20 or 40 min talks; speaker benefits per Black Hat briefings policy; cfp@blackhat.com,2026-06-01,Mostly Fixed
Black Hat USA,High,Yes,Industry,Talks|Trainings,Yes,TBD,12-07,TBD,TBD,2026-08-01,2026-08-06,Las Vegas,United States,https://www.blackhat.com/call-for-papers.html,https://usa-trainings-cfp.blackhat.com/,,,In-Person,America/Los_Angeles,Merged Black Hat USA + Black Hat USA Trainings into single row; conference week Aug 1-6 with trainings Aug 1-4 and current CFT deadline 12-07,2026-03-30,Mostly Fixed
BlueCon Japan,Low,Yes,Industry,Trainings|Talks,Unknown,09-01,TBD,TBD,TBD,2026-11-01,2026-11-30,Tokyo,Japan,https://codeblue.jp/en/,https://codeblue.jp/en/,,,In-Person,Asia/Tokyo,Estimated from CODE BLUE annual November schedule and prior CFP cycle,2026-03-30,Unknown
BruCON Autumn Training,High,Yes,Industry,Trainings,Unknown,TBD,04-30,TBD,TBD,2026-09-21,2026-09-23,Mechelen,Belgium,https://www.brucon.org/,https://sessionize.com/brucon-0x12/,,,In-Person,Europe/Brussels,BruCON 0x12 autumn training Sep 21-23 2026 2/3-day courses Mechelen in-person or virtual; CfT closed Apr 30 2026 Sessionize feedback May 31; https://www.linkedin.com/company/brucon_2/,2026-06-01,Fixed
BruCON Conference,High,Yes,Industry,Talks|Workshops|Trainings,Unknown,04-30,04-30,TBD,TBD,2026-09-24,2026-09-25,Mechelen,Belgium,https://sessionize.com/brucon-0x12/,https://sessionize.com/brucon-0x12/,https://www.brucon.org/,https://www.brucon.org/call-for-volunteers,In-Person,Europe/Brussels,BruCON 0x12 Sep 24-25 2026 Lamot Van Beethovenstraat 8-10 Mechelen ~600 attendees; CFP/CfT closed Apr 30 2026; schedule release May 31 tickets Jun 1 2026; autumn training Sep 21-23; topics AI agentic security IoT hardware; https://www.linkedin.com/company/brucon_2/,2026-06-01,Fixed
BruCON Spring Training,High,Yes,Industry,Trainings,Unknown,TBD,11-30,TBD,TBD,2026-04-22,2026-04-24,Ghent,Belgium,https://www.brucon.org/,https://www.brucon.org/,,,Hybrid,Europe/Brussels,BruCON 0x12 spring training Apr 22-24 2026 concluded; mix in-person and virtual 2/3-day courses; next spring CfT window Nov 1-30 feedback Dec 10 per brucon.org; https://www.linkedin.com/company/brucon_2/,2026-06-01,Fixed
BSI Deutscher IT-Sicherheitskongress,Medium,Yes,Industry,Talks,Unknown,01-07,,,TBD,2026-04-15,2026-04-16,Bonn,Germany,https://coms.app/bsi-kongress2026/welcome.html,,,,In-Person,Europe/Berlin,Added from backlog list,2026-03-30,Unknown
BSides Canberra,Low,Unknown,Industry,Talks|Workshops,Unknown,TBD,TBD,TBD,TBD,2023-09-28,2023-09-30,Canberra,Australia,https://www.bsidesau.com.au/2023/index.html,,https://www.bsidesau.com.au/2023/index.html,,In-Person,Australia/Sydney,BSides Canberra 2023 dates verified,2026-03-30,Mostly Fixed
BSides Cape Town,Low,Yes,Industry,Talks|Workshops|CTF,Unknown,TBD,TBD,TBD,TBD,TBD,TBD,Cape Town,South Africa,https://bsidescapetown.co.za/,,https://bsidescapetown.co.za/,,In-Person,Africa/Johannesburg,Grassroots community BSides since 2011 first weekend of December Cape Town; 2025 Redacted edition Dec 6 Lagoon Beach Hotel blind CFP pretalx closed Sep 30; 2-3 tracks keynotes CTF lockpicking; 2026 dates and CFP not yet announced watch https://bsidescapetown.co.za/; cfpreview@bsidescapetown.co.za organisers@bsidescapetown.co.za,2026-06-01,Mostly Fixed
BSides Frankfurt,Medium,Unknown,Industry,Talks|Workshops,Unknown,08-01,TBD,TBD,TBD,2026-09-10,2026-09-11,Frankfurt,Germany,https://bsidesfrankfurt.org/,,,,In-Person,Europe/Berlin,BSidesFrankfurt Sep 10-11 2026 Goethe-Universität Frankfurt; Germany community infosec no vendor pitches; CFP open via Pretalx since Apr 1 2026 first-time speaker slots; early-bird tickets Mar 20 2026; BSides Women discounted tickets NVISO; partner Elbsides Hamburg; CFP close Aug 1 per cfptime verify on Pretalx; https://www.linkedin.com/company/bsides-frankfurt/,2026-06-01,Fixed
BSides Joburg,Low,Yes,Industry,Talks|Workshops,Unknown,05-31,TBD,TBD,TBD,2026-07-25,2026-07-25,Johannesburg,South Africa,https://pretalx.com/bsides-joburg-2026/cfp,,https://bsidesjoburg.co.za/,,In-Person,Africa/Johannesburg,3rd edition Jul 25 2026 08:00-18:00 Focus Rooms 20 Heaton Lane Longlake Johannesburg; theme Light The Way; ~400-500 attendees 2 tracks lockpicking; volunteer community BSides; CFP pretalx closes May 31 2026 23:59 SAST notifications Jun 5; tickets via Quicket,2026-06-01,Mostly Fixed
BSides London,Medium,Yes,Industry,Talks|Workshops|CTF,Unknown,10-13,TBD,TBD,TBD,2024-12-14,2024-12-14,London,United Kingdom,https://www.securitybsides.org.uk/,,https://www.securitybsides.org.uk/,,In-Person,Europe/London,CfP closed October 13 2024 and event held December 14 2024,2026-03-30,Unknown
BSides Munich,Low,Yes,Industry,Talks|Workshops|CTF,Unknown,07-15,TBD,TBD,TBD,2024-11-09,2024-11-11,Munich,Germany,https://bsidesmunich.org/,,https://bsidesmunich.org/,,In-Person,Europe/Berlin,CfP closed July 15 2024 with workshop and conference days in November,2026-03-30,Unknown
BSides Newcastle,Low,No,Industry,Talks|Workshops|CTF,Unknown,TBD,TBD,TBD,TBD,2025-09-27,2025-09-27,Newcastle upon Tyne,United Kingdom,https://bsidesnewcastle.org/,,,,In-Person,Europe/London,BSidesNCL BSides Newcastle North East UK; 2025 concluded Sep 27 North East Futures UTC 200+ attendees 3 tracks workshops all-day CTF space theme; 2026 in planning date venue CFP and tickets not announced; first-time speakers welcome; discord.gg/YVwnpgFZ2e; https://www.linkedin.com/company/bsidesncl/,2026-06-01,Fixed
BSides Pyongyang,Low,No,Industry,Talks,Unknown,TBD,TBD,TBD,TBD,2025-11-18,2025-11-18,Virtual,Global,https://bsidespyongyang.com/,,,,Virtual,UTC,Community satirical BSides #BSidesPyongyang2025 Nov 18 2025 Missile Industry Day; online stream Twitch YouTube Discord; 2025 concluded Eventbrite 10am-4pm EST; DPRK-themed threat intel malware talks; 2026 not announced watch site; https://www.linkedin.com/company/bsidespyongyang/,2026-06-01,Fixed
BSidesTLV,High,Yes,Industry,Talks|Workshops|CTF,Unknown,04-30,TBD,TBD,TBD,2026-06-25,2026-06-25,Tel Aviv,Israel,https://sessionize.com/bsidestlv-2026/,,https://bsidestlv.com/,,In-Person,Asia/Jerusalem,BSidesTLV 11th edition Jun 25 2026 Smolarz Auditorium Tel Aviv University during Cyber Week Jun 22-25; theme Alice in AI Land; ~1000 attendees nonprofit volunteer; CFP closed Apr 30 2026; 45/25/10 min talks villages; speakers dinner Jun 24 after party; info@bsidestlv.com; https://www.linkedin.com/company/bsidestlv/,2026-06-01,Fixed
BSides Vilnius,Low,No,Industry,Talks|Workshops|CTF,Unknown,TBD,TBD,TBD,TBD,2026-06-03,2026-06-04,Vilnius,Lithuania,https://bsidesvilnius.lt/,,,,In-Person,Europe/Vilnius,BSides Vilnius 2026 Security Theater theme; workshops Jun 3 main event Jun 4 at Kablys Vilnius; ~400 attendees 2025 edition; CFP closed program set; regular tickets sold out Jun 2026; CTF May 31-Jun 4 free without ticket some on-site challenges; nonprofit community; https://www.linkedin.com/company/bsides-vilnius/,2026-06-01,Fixed
Elbsides,Medium,No,Industry,Talks|Workshops,Unknown,03-20,TBD,TBD,TBD,2026-06-04,2026-06-05,Hamburg,Germany,https://www.elbsides.eu/2026/,,https://www.elbsides.eu/2026/workshops/,,In-Person,Europe/Berlin,BSides Hamburg since 2019; workshop day Jun 4 2026 Jungheinrich Wandsbek; conference Jun 5 2026 Hotel Hafen Hamburg Elbkuppel; CFP closed Mar 20 2026 program published; conference and workshop tickets sold out Jun 2026; pretix workshop sales; community-driven nonprofit; partner cons BSides Frankfurt Open Security Conference BSides Munich; https://www.linkedin.com/company/elbsides/,2026-06-01,Mostly Fixed
BSides Las Vegas,High,Yes,Industry,Talks|Workshops|Trainings|CTF,Yes,05-08,TBD,TBD,TBD,2026-08-03,2026-08-05,Las Vegas,United States,https://bsideslv.org/,https://callforpapers.bsideslv.org/cfp,,https://bsideslv.org/cfv.html,In-Person,America/Los_Angeles,BSidesLV 2026 Aug 3-5 Tuscany Suites and Casino Las Vegas two full days Mon-Tue half-day Wed famous pool party Wed night expanded from prior two-day format; Hacker Summer Camp week before DEF CON 34 Aug 6-9 and Black Hat; CFP closed May 8 2026 opened Apr 1 acceptances week of May 25; tracks Breaking Ground Common Ground Ground Truth Hire Ground I Am The Cavalry PasswordsCon Proving Ground SkyTalks Training Ground; speakers hotel room block; badges via donor drive room block capacity capped no walk-ins; Pros v Joes CTF sign-ups live; volunteers cfv; https://bsideslv.org/cfp.html; https://www.linkedin.com/company/bsides-las-vegas/,2026-06-01,Mostly Fixed
c0c0n,Medium,Yes,Industry,Talks|Trainings,Unknown,05-10,TBD,TBD,TBD,2026-10-09,2026-10-10,"Kochi, Kerala",India,https://www.c0c0n.org/cfp,https://www.c0c0n.org/cfp,,,In-Person,Asia/Kolkata,19th edition; CFP deadline May 10 2026; trainings Oct 6-8 conference Oct 9-10 2026 at Grand Hyatt Bolgatty Kochi,2026-04-01,Unknown
CactusCon,Medium,Yes,Industry,Talks|Trainings|Workshops|Villages,Unknown,10-24,TBD,TBD,TBD,2026-02-06,2026-02-07,Mesa,United States,https://www.cactuscon.com/,https://sessionize.com/cactuscon-14/,,,In-Person,America/Phoenix,CactusCon 14 Feb 6-7 2026 Mesa Convention Center Arizona largest infosec con 2000+ attendees; speaker reception Feb 5; 2026 concluded thanks all who attended; CFP Sessionize closed Oct 24 2025 talks workshops villages CISO village separate form; annual early February cycle watch CactusCon 15; https://www.linkedin.com/company/cactuscon/,2026-06-01,Fixed
CanSecWest,Medium,Yes,Industry,Talks|Workshops,Yes,TBD,TBD,TBD,TBD,2024-03-20,2024-03-22,Vancouver,Canada,https://cansecwest.com/,,https://cansecwest.com/,,In-Person,America/Vancouver,Main conference dates verified as March 20-22 2024,2026-03-30,Unknown
CODE BLUE,High,Yes,Industry,Talks|Trainings,Yes,09-01,TBD,TBD,TBD,2024-11-01,2024-11-30,Tokyo,Japan,https://codeblue.jp/,https://codeblue.jp/,,,In-Person,Asia/Tokyo,Added from requested 2024 conference list,2026-03-30,Unknown
Code Blue Tokyo,High,Yes,Industry,Talks|Trainings,Unknown,03-31,03-31,TBD,TBD,2026-11-17,2026-11-18,Tokyo,Japan,https://codeblue.jp/en/cfp/training/,https://sessionize.com/CB26-TRAINING,,,In-Person,Asia/Tokyo,Training CFP closes March 31 2026 and main conference is in November,2026-03-30,Unknown
Code Europe Krakow,Medium,Yes,Industry,Talks|Workshops,Yes,03-30,TBD,TBD,TBD,2025-06-30,2025-07-01,Krakow,Poland,https://www.codeeurope.pl/en/become-a-speaker,,,,In-Person,Europe/Warsaw,"Last Kraków edition Jun 30–Jul 1 2025 ICE Kraków (Marii Konopnickiej 17); prior Kraków dates May 22–23 2023 and Jun 10–11 2024 per Crossweb; CfP closed Mar 30 2025 per cfp.watch (form on codeeurope.pl); travel and hotel for speakers per CfP Watch. Code Europe 2026 moves to Warsaw Sep 14–15 2026 (Day 1 online CEE, Day 2 Stadion Legii) CfP open closes Jun 30 2026 per codeeurope.pl — track Warsaw separately if needed.",2026-06-01,Rotating
CONFidence,High,Yes,Industry,Talks|Workshops|Villages|CTF,Partial,03-15,TBD,TBD,TBD,2026-05-25,2026-05-26,Krakow,Poland,https://confidence-conference.org/call-for-papers-what-are-we-looking-for/,,,,In-Person,Europe/Warsaw,26th edition May 25-26 2026 EXPO Kraków; ~2000 attendees Central Europe; tracks Offense Defense Future Tech Exec invite-only; Villages radio speedrunning CTF physical security; CFP closed Mar 15 2026; speakers free entry travel up to 1000 PLN; Proidea organizer; hackable badge; Oh My Hack partner discount CONFI_OMH_10; https://www.linkedin.com/showcase/confidence-conference/,2026-06-01,Fixed
CrikeyCon,Low,No,Industry,Talks|Workshops|CTF|Villages,Unknown,TBD,TBD,TBD,TBD,2026-03-21,2026-03-21,Brisbane,Australia,https://crikeycon.com/,,,,In-Person,Australia/Brisbane,CrikeyCon 11 Mar 21 2026 Royal International Convention Centre Brisbane; community nonprofit South-East Queensland; workshops CTF PACs Meshtastic CrikeyConnect careers village; excess profits to charity AUD 200k+; 2026 concluded; annual series typically March watch crikeycon.com; crikeycon@crikeycon.com; https://www.linkedin.com/company/crikeycon/,2026-06-01,Fixed
0xCC,Medium,No,Industry,Trainings,Yes,TBD,TBD,TBD,TBD,2025-06-13,2025-06-14,Melbourne,Australia,https://0xcc.sh/,,,,In-Person,Australia/Melbourne,Free cybersecurity training conference by women for women anyone who identifies as a woman; annual Melbourne since 2019; 2025 Jun 13-14 four parallel two-day courses attendee picks one track supply chain web hacking malware analysis Windows forensics IR; free tickets Humanitix release Mar 26 2025 AEDT travel grant applications closed Apr 11 2025; 2025 hosted EY Australia Melbourne also listed 8 Exhibition St; mentorship networking Discord; curated trainers no public CfP; 2025 concluded no 2026 dates on 0xcc.sh Jun 2026; community org linked Airglow Security founder; sponsors Bugcrowd PentesterLab Shogun Tanto; https://0xcc.sh/training.html https://events.humanitix.com/0xcc-2025; https://www.linkedin.com/company/0xcc/,2026-06-01,Mostly Fixed
Chaos Communication Congress,High,Yes,Mixed,Talks|Workshops|CTF|Villages,Partial,TBD,TBD,TBD,TBD,2026-12-27,2026-12-30,Hamburg,Germany,https://events.ccc.de/en/calendar/,,,,In-Person,Europe/Berlin,40C3 40th edition Dec 27-30 2026 Hamburg Messe Messeplatz 1; annual congress of Chaos Computer Club CCC; four days talks workshops assemblies; 39C3 Dec 2025 CCH theme Power Cycles; CfP historically on frab.cccv.de opens ~Sep deadline TBD for 40C3; https://www.ccc.de/,2026-06-01,Mostly Fixed
CSCML,Medium,Yes,Academic,Talks,Yes,TBD,,,TBD,2024-12-19,2024-12-20,Beer Sheva,Israel,https://www.cscml.org/front-page,,,,In-Person,Asia/Jerusalem,Dates verified as December 19-20 2024,2026-03-30,Unknown
Cyber Week Tel Aviv,Medium,Yes,Industry,Talks,Yes,TBD,,,TBD,2024-06-24,2024-06-27,Tel Aviv,Israel,https://cyberweek.tau.ac.il/,,,,In-Person,Asia/Jerusalem,Four-day event dates verified (June 24-27 2024),2026-03-30,Unknown
CyberCon Melbourne,Medium,Yes,Industry,Talks|Workshops,Unknown,TBD,TBD,TBD,TBD,2023-10-17,2023-10-19,Melbourne,Australia,https://melbourne2023.cyberconference.com.au/,,https://melbourne2023.cyberconference.com.au/,,In-Person,Australia/Melbourne,Australian Cyber Conference Melbourne 2023 dates verified,2026-03-30,Mostly Fixed
Cybertech Global Tel Aviv,High,Yes,Industry,Talks,Yes,TBD,,,TBD,2024-01-29,2024-01-31,Tel Aviv,Israel,https://www.cybertechisrael.com/,,,,In-Person,Asia/Jerusalem,Added from requested 2024 conference list,2026-03-30,Unknown
CyberWiseCon Vilnius,Low,Yes,Industry,Talks,Unknown,TBD,,,TBD,2026-05-20,2026-05-22,Vilnius,Lithuania,https://cyberwisecon.eu/,,,,In-Person,Europe/Vilnius,2026 main conference May 20-22 (workshops May 19) at Forum Cinemas Vingis Vilnius; CFP deadline not published,2026-04-01,Unknown
Cybersecurity Summit,Medium,Yes,Industry,Talks|Panels,Unknown,TBD,TBD,TBD,TBD,2027-04-21,2027-04-22,Hamburg,Germany,https://cybersecuritysumm.it/,,,,In-Person,Europe/Berlin,German IT-security trade fair and conference Trailblazer Summits Group; next edition Apr 21-22 2027 Hamburg per official site; 2026 edition Apr 28-29 2026 concluded 100+ speakers 80+ exhibitors 1000+ visitors; Mittelstand to enterprise topics NIS2 DORA Zero Trust cloud SOC GenAI OT; speaker via Bewerbung als Speaker invitation model not open CfP; tickets and exhibitor applications on site info@cybersecuritysumm.it,2026-06-01,Fixed
DEF CON,High,Yes,Industry,Talks|Workshops|Trainings,Unknown,05-01,01-12,05-01,TBD,2026-08-06,2026-08-09,Las Vegas,United States,https://defcon.org/html/defcon-34/dc-34-cfp.html,https://training.defcon.org/pages/2026-las-vegas-call-for-trainers,https://defcon.org/html/defcon-34/dc-34-cfw.html,https://defcon.org/html/links/get-involved.html,In-Person,America/Los_Angeles,DEF CON 34 Aug 6-9 2026 Las Vegas Convention Center; CFP and CfW both closed May 1 2026 midnight UTC (4h workshops via OpenConf); CFT closed 01-12; demo labs CFI at dc-34-cfi.html,2026-06-01,Mostly Fixed
DEF CON Bahrain,Low,Yes,Industry,Trainings|Talks,Unknown,TBD,TBD,TBD,TBD,2026-11-11,2026-11-12,Manama,Bahrain,https://defcon.org/html/defcon-bahrain/dc-bahrain-index.html,https://training.defcon.org/,,,In-Person,Asia/Bahrain,Official DEF CON homepage lists DEF CON Middle East conference dates (Nov 11-12 2026) and training window (Nov 8-10),2026-03-30,Mostly Fixed
DEF CON Singapore,High,Yes,Industry,Talks|Trainings,Unknown,02-15,11-10,TBD,TBD,2026-04-28,2026-04-30,Singapore,Singapore,https://defcon.org/html/defcon-singapore/dc-singapore-index.html,https://training.defcon.org/pages/2026-singapore-call-for-trainers,,,In-Person,Asia/Singapore,Official DEF CON site lists conference dates Apr 28-30 2026 with CFP deadline 02-15 and Singapore CFT close 11-10,2026-03-30,Unknown
